Id,VideoId,Title,Description,PublishedAt,Duration,ViewCount,LikeCount,CommentCount,PrivacyStatus,EmbeddingStatus,EngagementRate,
22,NN1mCK6GA4o,Single Responsibility Prensibi: Tek Sorumluluk Prensibi,"Bu video, Youngling üyelerimiz için özel olarak hazırlandı! 🚀 'Single Responsibility' (Tek Sorumluluk) prensibini derinlemesine inceliyoruz. Yazılım geliştirme sürecinde karşılaşılan karmaşık senaryoları ve bu prensibin neden önemli olduğunu örneklerle açıklıyoruz. Kodu temiz, sürdürülebilir ve kolay test edilebilir hale getirmek için nasıl kullanmanız gerektiğini öğrenin!

Videomuzda, bu prensibin nasıl bozulabileceğini ve doğru uygulama yöntemlerini adım adım keşfedeceksiniz. 'Single Responsibility' prensibini tam anlamıyla özümseyerek, yazılım projelerinizde sağlam bir temel oluşturabilirsiniz.

Discord sunucumuza katılarak sorularınızı paylaşabilir ve topluluğumuzla etkileşime geçebilirsiniz:
https://discord.com/invite/tkZBnuba8h",2024-09-03 12:00,00:20:56,117,6,3,public,Enabled,7.69,
35,6lf1yeFDupA,C# Asenkron ve Senkron Programlama Nedir?,Senkron programlama, işlemlerin sırayla ve adım adım gerçekleştiği bir programlama yaklaşımıdır. Yani, bir işlem tamamlanmadan diğeri başlamaz. Asenkron programlama, işlemlerin eş zamanlı olarak gerçekleşebildiği bir programlama yaklaşımıdır. Bu, bir işlemin tamamlanmasını beklemeden diğer işlemlerin devam edebileceği anlamına gelir.,2023-12-17 15:16,00:01:00,690,37,5,public,Enabled,6.9,
3,y1j1xIVYq6I,Copilot ile Rol Tabanlı Oyun Geliştirme | Uzay Savaşı Serisi #1,"Bu bölümde, daha önceki projelerimizde de ipuçlarını verdiğimiz metin tabanlı oyun fikrimizi hayata geçiriyoruz. World of Warcraft’tan ilham alarak daha önce küçük konsol oyunları yapmıştık, şimdi ise bunu bir adım öteye taşıyoruz.
Bilim kurgu, fantastik kurgu ve cyberpunk öğeleriyle harmanlanmış bu projede, yapay zekayı bir yardımcı değil, adeta bir rol arkadaşı olarak konumlandırıyoruz.

Kodlama süreci içinde bir roleplay deneyimi yaratıyoruz.
İzleyiciye sadece kod değil, aynı zamanda bir karakterin gözünden senaryoya katılma imkânı sunuyoruz.

🪐 Senaryomuzun temeli ise bir Galaktik İmparatorluk ve ona karşı gelen asiler etrafında şekilleniyor. Disiplinli ama kötü olmayan bu imparatorluğun düzenine karşı çıkanlar artık harekete geçiyor…

🎯 Bu proje ile amacımız yalnızca oyun yazmak değil, yazılım öğretimini daha eğlenceli ve sürükleyici hale getirmek.

🛸 Devam bölümleri çok yakında! Abone olmayı ve bildirimleri açmayı unutmayın.

🎉 Youngling Üyelik Seviyesi!
Yazılım dünyasında bir adım öne geçmek ister misiniz? Youngling seviyesine katılarak şu özel avantajlardan yararlanabilirsiniz:

📹 Sadece üyeler için hazırlanmış özel eğitim videoları.
💬 Yazılım topluluğumuzla daha yakın bir iletişim fırsatı.
🚀 Size özel içerik önerileri ve projeler.
✨ Üye olun ve yazılım kariyerinizde bir fark yaratın!

👉 Üyelik bağlantısı: https://www.youtube.com/channel/UCzdLcari9TIx-rtWzDNXvdQ/join",2025-04-19 09:01,00:05:17,713,24,9,public,Enabled,4.63,
4,HqjNJjSKXEo,Copilot ile 10 Dakikada Sayı Tahmin Oyunu Yap,"Copilot serimize kaldığımız yerden devam ediyoruz.
Bu videoda, GitHub Copilot'u kullanarak sadece 10 dakikada C# ile bir Sayı Tahmin Oyunu geliştiriyoruz.

Geçen videoda Copilot’u kurduk, tanıdık…
Şimdi sıra geldi onu çalıştırmaya!

Bu mini proje sayesinde:
✅ Copilot’un kod önerilerini gerçek zamanlı nasıl kullandığımızı,
✅ Küçük projelerde ne kadar pratik katkı sağladığını,
✅ Ve C# ile temel bir oyun yapmanın ne kadar kolaylaştığını göreceksiniz.

🎉 Youngling Üyelik Seviyesi!
Yazılım dünyasında bir adım öne geçmek ister misiniz? Youngling seviyesine katılarak şu özel avantajlardan yararlanabilirsiniz:

📹 Sadece üyeler için hazırlanmış özel eğitim videoları.
💬 Yazılım topluluğumuzla daha yakın bir iletişim fırsatı.
🚀 Size özel içerik önerileri ve projeler.
✨ Üye olun ve yazılım kariyerinizde bir fark yaratın!

👉 Üyelik bağlantısı: https://www.youtube.com/channel/UCzdLcari9TIx-rtWzDNXvdQ/join",2025-03-26 14:00,00:12:39,240,15,0,public,Enabled,6.25,
10,lCAkAu97ok4,Bölüm 6: Onion Mimari Dependency Injection ve Persistence Katmanı Entegrasyonu | C# Eğitimi,"🔗 GitHub Proje Linki: https://github.com/softbreak/Softbreak.OnionArch

Bu derste Onion Mimarinin temel prensiplerini uygulayarak, Dependency Injection ve Persistence Katmanı Entegrasyonu süreçlerini derinlemesine inceliyoruz.

Gevşek Bağlılık (Loosely Coupled): Interface ve sınıf bağımlılıklarını optimize ederek sürdürülebilir bir yapı nasıl oluşturulur?
Context ve Repository Yönetimi: Repository'leri IOC container ile entegre etme adımları.
Pratik Örnekler: Entity Framework kullanımı ve veritabanı bağlantılarının yapılandırılması.

🎉 Youngling Üyelik Seviyesi!
Yazılım dünyasında bir adım öne geçmek ister misiniz? Youngling seviyesine katılarak şu özel avantajlardan yararlanabilirsiniz:

📹 Sadece üyeler için hazırlanmış özel eğitim videoları.
💬 Yazılım topluluğumuzla daha yakın bir iletişim fırsatı.
🚀 Size özel içerik önerileri ve projeler.
✨ Üye olun ve yazılım kariyerinizde bir fark yaratın!

👉 Üyelik bağlantısı: https://www.youtube.com/channel/UCzdLcari9TIx-rtWzDNXvdQ/join",2025-01-11 11:00,00:30:23,414,29,0,public,Enabled,7.0,
28,VAoJ-JnXS1I,JWT Nedir? Ve .Net Core’da Nasıl Oluşturulur?,,2024-03-23 11:22,00:00:48,700,40,0,public,Enabled,5.71,
47,RtyGbFKLWMY,1 - .NET ile Eticaret Projesi (Ntier) - Başlangıç Rehberi,"Bu eğitim videosunda, .NET platformunda C# programlama dilini kullanarak Ntier mimarisiyle eticaret projesi geliştirmeye başlıyoruz. E-ticaret dünyasına adım atmak ve sağlam bir temel oluşturmak için bu serinin ilk adımını atıyoruz! 

Bu video, .NET teknolojisi ve Ntier mimarisi hakkında bilgi sahibi olmak isteyen herkes için mükemmel bir başlangıç ​​rehberi olacak. Proje geliştirmeye başlamadan önce temel kavramları anlamak, projenin başarıya ulaşmasının temel taşıdır. Eğitim videomuzda adım adım rehberlik edeceğiz ve izleyicilere kendi eticaret projelerini geliştirmeleri için güçlü bir temel sağlayacağız. Başarılar dileriz ve eğitim videomuzu keyifle izlemenizi umarız!

*Projeyi İndirin ve İzleyin:*
https://github.com/softbreak/SoftbreakEcommerceProject

*Topluluğa Katıl*
https://discord.com/invite/tkZBnuba8h

Sorularınız veya geri bildiriminiz varsa lütfen yorumlarda paylaşın!

Videoyu beğendiyseniz, abone olmayı ve bildirimleri açmayı unutmayın, böylece yeni içeriklerimizi kaçırmazsınız. 🚀",2023-08-06 16:00,00:04:01,2930,44,3,public,Enabled,1.60,
12,A9_rpsi2KHc,Bölüm 4: Onion Mimari DTO ve Katmanlar Arası Soyutlama | C# Eğitimi,"🔗 GitHub Proje Linki: https://github.com/softbreak/Softbreak.OnionArch

Onion Mimari serimizin dördüncü bölümüne hoş geldiniz! Bu videoda, persistence katmanına geçişi adım adım ele alıyoruz. Ayrıca, katmanlar arası soyutlama prensiplerini detaylandırarak DTO (Data Transfer Object) mantığının doğru kullanımını örneklerle açıklıyoruz.

🎉 Youngling Üyelik Seviyesi!
Yazılım dünyasında bir adım öne geçmek ister misiniz? Youngling seviyesine katılarak şu özel avantajlardan yararlanabilirsiniz:

📹 Sadece üyeler için hazırlanmış özel eğitim videoları.
💬 Yazılım topluluğumuzla daha yakın bir iletişim fırsatı.
🚀 Size özel içerik önerileri ve projeler.
✨ Üye olun ve yazılım kariyerinizde bir fark yaratın!

👉 Üyelik bağlantısı: https://www.youtube.com/channel/UCzdLcari9TIx-rtWzDNXvdQ/join",2024-12-28 15:10,00:24:47,609,22,12,public,Enabled,5.58,
52,jKuXOYaJp-Y,6- .Net Core ile CRUD,"Merhaba arkadaşlar,

Bu videoda sizlerle .Net Core CRUD (Create, Read, Update, Delete) işlemlerini nasıl gerçekleştirebileceğimizi göstereceğim. .Net Core CRUD, temel veritabanı işlemlerini ifade eder ve bu işlemler bir web uygulaması oluştururken en sık kullanılan işlemler arasındadır.

.Net Core CRUD öğrenmek, birçok farklı senaryoda kullanılabilir. Bu tür bir uygulama geliştirmek, bir şirketin müşteri verilerini kaydederken, bir e-ticaret sitesindeki ürün verilerini yönetirken veya bir blog sitesindeki yazıları düzenlerken kullanılabilir.

Beğenmeyi, paylaşmayı ve abone olmayı unutmayın! Teşekkürler.

*Discord*
https://discord.com/invite/tkZBnuba8h",2023-05-12 19:13,00:19:20,784,25,9,public,Enabled,4.34,
13,_9FiqFQrw4A,Bölüm 3: Onion Mimari Contract Katmanından Somut Sınıflara Geçiş | C# Eğitimi,"🔗 GitHub Proje Linki: https://github.com/softbreak/Softbreak.OnionArch

Onion Mimari serimizin bu bölümünde, Contract Katmanı üzerinde yoğunlaşıyoruz. Contract katmanının tasarımında dikkat edilmesi gereken noktaları ele alıyor ve bu katmandan somut sınıflara nasıl geçileceğini adım adım inceliyoruz. Yazılım projelerinde esneklik ve sürdürülebilirlik sağlamak için katmanlar arasında güçlü bir soyutlama mekanizması kurmayı öğrenin.

Bu videoda, DTO'lar, servis sözleşmeleri (service contracts) ve diğer önemli unsurların tasarımına dair detaylı bir rehber sunuyoruz. Ayrıca, Contract katmanının Domain ve Application katmanlarıyla olan ilişkisini anlamanızı sağlayacak pratik örneklerle konuyu pekiştiriyoruz.

Sorularınızı yorumlara yazmayı unutmayın! 🌟",2024-12-21 11:00,00:14:30,371,22,6,public,Enabled,7.55,
